VehicleID,Manufacturer,Model,Description,Engine CC,Transmission,Fuel Type,Power (kw),Vehicle Load Length,Vehicle Gross Weight,Vehicle Gross Train Weight,Vehicle Type,Urban MPG,Extra Urban MPG,Combined MPG,Urban Litres,Extra Urban Litres,Combined Litres,CO2,Euro Standard,Alternative Fuel,Petrol Variant,Diesel Variant,Last Update
6595,Citroen,"Relay","35 L3H3 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,3.7,3500,6000,Large Van,42.2,47.9,45.6,6.8,5.9,6.2,163,6,False,False,True,5/23/2016 2:15:27 PM
6594,Citroen,"Relay","35 L3H3 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.7,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 2:13:40 PM
6593,Citroen,"Relay","35 L3H2 BlueHDi 160 6-speed manual Enterprise",1997,Manual,Diesel,120,3.7,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 2:11:47 PM
6592,Citroen,"Relay","35 L3H2 BlueHDi 160 6-speed manual",1997,Manual,Diesel,120,3.7,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 2:09:31 PM
6591,Citroen,"Relay","35 L3H2 BlueHDi 130 S&S 6-speed manual",1997,Manual,Diesel,96,3.7,3500,6000,Large Van,43.5,49.6,47.1,6.5,5.7,6.0,159,6,False,False,True,5/23/2016 2:05:56 PM
6590,Citroen,"Relay","35 L3H2 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,3.7,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 2:02:23 PM
6589,Citroen,"Relay","35 L3H2 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.7,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 1:57:47 PM
6588,Citroen,"Relay","35 L2H2 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,3.1,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 1:55:55 PM
6587,Citroen,"Relay","35 L2H2 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.1,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 1:54:07 PM
6586,Citroen,"Relay","35 L2H1 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,3.1,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 12:45:55 PM
6585,Citroen,"Relay","35 L2H1 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.1,3500,6000,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/23/2016 12:43:59 PM
6584,Citroen,"Relay","35 Heavy L4H3 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,4.1,3500,6500,Large Van,40.9,46.3,44.1,6.9,6.1,6.4,168,6,False,False,True,5/23/2016 12:41:40 PM
6583,Citroen,"Relay","35 Heavy L4H3 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,4.1,3500,6500,Large Van,40.9,46.3,44.1,6.9,6.1,6.4,168,6,False,False,True,5/23/2016 12:39:51 PM
6582,Citroen,"Relay","35 Heavy L4H2 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,4.1,3500,6500,Large Van,40.9,46.3,44.1,6.9,6.1,6.4,168,6,False,False,True,5/23/2016 12:38:14 PM
6581,Citroen,"Relay","35 Heavy L4H2 BlueHDi 130 6-speed manual ",1997,Manual,Diesel,96,4.1,3500,6500,Large Van,40.9,46.3,44.1,6.9,6.1,6.4,168,6,False,False,True,5/20/2016 3:24:36 PM
6580,Citroen,"Relay","35 Heavy L3H2 BlueHDi 130 6-speed manual Enterprise",1997,Manual,Diesel,96,3.7,3500,6500,Large Van,40.9,46.3,44.1,6.9,6.1,6.4,168,6,False,False,True,5/20/2016 3:23:16 PM
6579,Citroen,"Relay","35 Heavy L3H2 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.7,3500,6500,Large Van,40.9,46.3,44.1,6.9,6.1,6.4,168,6,False,False,True,5/20/2016 3:21:31 PM
6578,Citroen,"Relay","33 L3H2 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.7,3300,5800,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/20/2016 3:19:40 PM
6576,Citroen,"Relay","33 L2H2 BlueHDi 130 6-speed manual",1997,Manual,Diesel,96,3.1,3300,5800,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/20/2016 3:16:37 PM
6575,Citroen,"Relay","33 L2H2 BlueHDi 110 6-speed manual Enterprise",1997,Manual,Diesel,81,3.1,3300,5300,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/20/2016 3:15:12 PM
6577,Citroen,"Relay","33 L2H2 BlueHDi 110 6-speed manual Enterprise",1997,Manual,Diesel,96,3.1,3300,5800,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/20/2016 3:18:07 PM
6574,Citroen,"Relay","33 L2H2 BlueHDi 110 6-speed manual",1997,Manual,Diesel,81,3.1,3500,5300,Large Van,42.2,47.9,45.6,6.7,5.9,6.2,163,6,False,False,True,5/20/2016 3:13:31 PM
